19.02000	0.22840
19.48000	0.23170
19.70000	0.23370
20.06000	0.23410
20.11000	0.23300
20.20000	0.23340
20.33000	0.23380
20.64000	0.23240
21.00000	0.23230
23.81000	0.15550
23.98000	0.14940
24.38000	0.14280
24.39000	0.14260
24.45000	0.14220
24.50000	0.14180
24.93000	0.12700
25.03000	0.12680
25.04000	0.12680
25.28000	0.14130
25.69000	0.14520
36.35000	0.33770
37.50000	0.34130
38.50000	0.34180
38.55000	0.34250
38.68000	0.34150
38.69000	0.34380
38.76000	0.34180
46.27000	0.29810
46.28000	0.29870
46.40000	0.29640
46.77000	0.29780
