1505.0000, -60.968, 1505.0000, -64.263, 1505.0000, -62.779, 1505.0000, -63.210, 1505.0000, -62.170, 1505.0000, -61.537,  , 
1505.0213, -60.856, 1505.0213, -64.851, 1505.0213, -63.700, 1505.0213, -63.260, 1505.0213, -62.152, 1505.0213, -61.285,  , 
1505.0425, -60.923, 1505.0425, -64.542, 1505.0425, -63.139, 1505.0425, -63.500, 1505.0425, -62.237, 1505.0425, -61.400,  , 
1505.0638, -61.082, 1505.0638, -63.958, 1505.0638, -63.415, 1505.0638, -63.358, 1505.0638, -62.325, 1505.0638, -61.357,  , 
1505.0850, -60.807, 1505.0850, -64.952, 1505.0850, -63.556, 1505.0850, -63.649, 1505.0850, -62.187, 1505.0850, -61.278,  , 
1505.1063, -61.147, 1505.1063, -64.482, 1505.1063, -62.917, 1505.1063, -63.265, 1505.1063, -62.218, 1505.1063, -61.133,  , 
1505.1275, -61.107, 1505.1275, -64.227, 1505.1275, -63.237, 1505.1275, -63.067, 1505.1275, -62.232, 1505.1275, -61.337,  , 
1505.1488, -61.173, 1505.1488, -64.719, 1505.1488, -63.495, 1505.1488, -63.902, 1505.1488, -62.086, 1505.1488, -61.367,  , 
1505.1700, -61.227, 1505.1700, -64.477, 1505.1700, -63.158, 1505.1700, -63.002, 1505.1700, -62.166, 1505.1700, -61.058,  , 
1505.1913, -60.704, 1505.1913, -64.328, 1505.1913, -63.402, 1505.1913, -63.794, 1505.1913, -62.137, 1505.1913, -61.210,  , 
1505.2126, -61.261, 1505.2126, -64.624, 1505.2126, -63.339, 1505.2126, -63.273, 1505.2126, -61.836, 1505.2126, -61.083,  , 
1505.2338, -60.997, 1505.2338, -63.696, 1505.2338, -63.701, 1505.2338, -63.448, 1505.2338, -62.267, 1505.2338, -61.060,  , 
1505.2551, -61.256, 1505.2551, -64.379, 1505.2551, -63.560, 1505.2551, -63.537, 1505.2551, -62.158, 1505.2551, -61.028,  , 
1505.2763, -61.132, 1505.2763, -64.423, 1505.2763, -63.690, 1505.2763, -63.209, 1505.2763, -61.948, 1505.2763, -61.139,  , 
1505.2976, -61.460, 1505.2976, -64.180, 1505.2976, -63.579, 1505.2976, -63.294, 1505.2976, -62.258, 1505.2976, -60.986,  , 
1505.3188, -61.398, 1505.3188, -64.046, 1505.3188, -63.335, 1505.3188, -63.464, 1505.3188, -62.273, 1505.3188, -61.099,  , 
1505.3401, -61.402, 1505.3401, -64.218, 1505.3401, -63.126, 1505.3401, -62.987, 1505.3401, -61.798, 1505.3401, -61.184,  , 
1505.3613, -61.470, 1505.3613, -64.171, 1505.3613, -63.589, 1505.3613, -63.224, 1505.3613, -62.091, 1505.3613, -60.922,  , 
1505.3826, -61.802, 1505.3826, -63.845, 1505.3826, -63.155, 1505.3826, -63.174, 1505.3826, -62.358, 1505.3826, -61.013,  , 
1505.4039, -61.302, 1505.4039, -63.543, 1505.4039, -63.383, 1505.4039, -63.141, 1505.4039, -61.895, 1505.4039, -60.846,  , 
1505.4251, -61.795, 1505.4251, -63.953, 1505.4251, -63.497, 1505.4251, -62.747, 1505.4251, -62.221, 1505.4251, -61.252,  , 
1505.4464, -61.627, 1505.4464, -64.307, 1505.4464, -63.627, 1505.4464, -62.883, 1505.4464, -61.632, 1505.4464, -61.196,  , 
1505.4676, -61.799, 1505.4676, -63.671, 1505.4676, -63.024, 1505.4676, -62.690, 1505.4676, -61.965, 1505.4676, -60.786,  , 
1505.4889, -61.665, 1505.4889, -63.342, 1505.4889, -63.209, 1505.4889, -62.895, 1505.4889, -61.996, 1505.4889, -60.819,  , 
1505.5101, -61.863, 1505.5101, -63.672, 1505.5101, -63.293, 1505.5101, -62.765, 1505.5101, -61.720, 1505.5101, -60.849,  , 
1505.5314, -61.966, 1505.5314, -63.141, 1505.5314, -62.797, 1505.5314, -62.484, 1505.5314, -62.130, 1505.5314, -60.702,  , 
1505.5526, -62.103, 1505.5526, -63.618, 1505.5526, -63.165, 1505.5526, -62.777, 1505.5526, -61.763, 1505.5526, -60.963,  , 
1505.5739, -61.779, 1505.5739, -63.208, 1505.5739, -62.922, 1505.5739, -62.537, 1505.5739, -61.409, 1505.5739, -60.752,  , 
1505.5951, -61.957, 1505.5951, -62.965, 1505.5951, -63.207, 1505.5951, -62.758, 1505.5951, -61.529, 1505.5951, -60.814,  , 
1505.6164, -62.340, 1505.6164, -63.165, 1505.6164, -62.821, 1505.6164, -62.472, 1505.6164, -61.583, 1505.6164, -60.868,  , 
1505.6377, -62.286, 1505.6377, -63.327, 1505.6377, -63.320, 1505.6377, -62.516, 1505.6377, -61.647, 1505.6377, -60.581,  , 
1505.6589, -62.084, 1505.6589, -62.806, 1505.6589, -63.203, 1505.6589, -62.474, 1505.6589, -61.506, 1505.6589, -60.978,  , 
1505.6802, -62.284, 1505.6802, -62.946, 1505.6802, -63.118, 1505.6802, -62.504, 1505.6802, -61.318, 1505.6802, -60.477,  , 
1505.7014, -62.335, 1505.7014, -63.023, 1505.7014, -62.872, 1505.7014, -62.371, 1505.7014, -61.532, 1505.7014, -60.511,  , 
1505.7227, -62.377, 1505.7227, -63.325, 1505.7227, -63.600, 1505.7227, -62.476, 1505.7227, -61.661, 1505.7227, -60.790,  , 
1505.7439, -62.404, 1505.7439, -63.044, 1505.7439, -62.948, 1505.7439, -62.681, 1505.7439, -61.436, 1505.7439, -60.832,  , 
1505.7652, -62.796, 1505.7652, -63.052, 1505.7652, -63.039, 1505.7652, -62.230, 1505.7652, -61.244, 1505.7652, -60.770,  , 
