1505.0000,-56.960,1505.0000,-56.841,1505.0000,-56.367,1505.0000,-55.634,1505.0000,-55.108,1505.0000,-55.918
1505.0213,-56.966,1505.0213,-56.884,1505.0213,-56.314,1505.0213,-55.635,1505.0213,-55.173,1505.0213,-55.926
1505.0425,-57.002,1505.0425,-56.738,1505.0425,-56.218,1505.0425,-55.524,1505.0425,-55.216,1505.0425,-55.864
1505.0638,-56.941,1505.0638,-56.731,1505.0638,-56.269,1505.0638,-55.548,1505.0638,-55.161,1505.0638,-55.963
1505.0850,-56.976,1505.0850,-56.901,1505.0850,-56.131,1505.0850,-55.585,1505.0850,-55.220,1505.0850,-55.924
1505.1063,-56.890,1505.1063,-56.791,1505.1063,-56.241,1505.1063,-55.560,1505.1063,-55.231,1505.1063,-55.907
1505.1275,-57.013,1505.1275,-56.706,1505.1275,-56.256,1505.1275,-55.497,1505.1275,-55.194,1505.1275,-55.938
1505.1488,-56.930,1505.1488,-56.702,1505.1488,-56.064,1505.1488,-55.495,1505.1488,-55.219,1505.1488,-55.889
1505.1700,-56.863,1505.1700,-56.706,1505.1700,-56.139,1505.1700,-55.478,1505.1700,-55.188,1505.1700,-55.932
1505.1913,-56.914,1505.1913,-56.697,1505.1913,-56.108,1505.1913,-55.458,1505.1913,-55.270,1505.1913,-56.001
1505.2126,-56.972,1505.2126,-56.649,1505.2126,-56.166,1505.2126,-55.433,1505.2126,-55.199,1505.2126,-55.950
1505.2338,-56.951,1505.2338,-56.686,1505.2338,-56.084,1505.2338,-55.439,1505.2338,-55.162,1505.2338,-55.911
1505.2551,-56.960,1505.2551,-56.667,1505.2551,-55.993,1505.2551,-55.390,1505.2551,-55.211,1505.2551,-55.937
1505.2763,-56.876,1505.2763,-56.609,1505.2763,-55.986,1505.2763,-55.392,1505.2763,-55.278,1505.2763,-55.969
1505.2976,-57.058,1505.2976,-56.607,1505.2976,-56.019,1505.2976,-55.484,1505.2976,-55.261,1505.2976,-55.855
1505.3188,-56.901,1505.3188,-56.634,1505.3188,-55.989,1505.3188,-55.335,1505.3188,-55.193,1505.3188,-55.914
1505.3401,-57.026,1505.3401,-56.557,1505.3401,-55.933,1505.3401,-55.326,1505.3401,-55.184,1505.3401,-55.905
1505.3613,-56.899,1505.3613,-56.501,1505.3613,-55.877,1505.3613,-55.340,1505.3613,-55.231,1505.3613,-55.922
1505.3826,-56.876,1505.3826,-56.528,1505.3826,-55.910,1505.3826,-55.329,1505.3826,-55.227,1505.3826,-55.889
1505.4039,-56.860,1505.4039,-56.558,1505.4039,-55.890,1505.4039,-55.433,1505.4039,-55.120,1505.4039,-55.871
1505.4251,-56.842,1505.4251,-56.436,1505.4251,-55.821,1505.4251,-55.255,1505.4251,-55.225,1505.4251,-55.829
1505.4464,-56.845,1505.4464,-56.492,1505.4464,-55.717,1505.4464,-55.294,1505.4464,-55.198,1505.4464,-55.935
1505.4676,-56.934,1505.4676,-56.493,1505.4676,-55.743,1505.4676,-55.306,1505.4676,-55.176,1505.4676,-55.901
1505.4889,-56.773,1505.4889,-56.506,1505.4889,-55.767,1505.4889,-55.236,1505.4889,-55.234,1505.4889,-55.826
1505.5101,-56.788,1505.5101,-56.441,1505.5101,-55.699,1505.5101,-55.321,1505.5101,-55.276,1505.5101,-55.846
1505.5314,-56.855,1505.5314,-56.441,1505.5314,-55.719,1505.5314,-55.266,1505.5314,-55.270,1505.5314,-55.830
1505.5526,-56.837,1505.5526,-56.389,1505.5526,-55.693,1505.5526,-55.306,1505.5526,-55.185,1505.5526,-55.820
