1505.0000, -47.114
1505.0213, -47.104
1505.0425, -47.079
1505.0638, -47.096
1505.0850, -47.075
1505.1063, -47.064
1505.1275, -47.067
1505.1488, -47.036
1505.1700, -47.037
1505.1913, -47.019
1505.2126, -47.017
1505.2338, -46.991
1505.2551, -47.003
1505.2763, -46.982
1505.2976, -46.975
1505.3188, -46.969
1505.3401, -46.948
1505.3613, -46.933
1505.3826, -46.939
1505.4039, -46.913
1505.4251, -46.905
1505.4464, -46.894
1505.4676, -46.893
1505.4889, -46.878
1505.5101, -46.869
1505.5314, -46.860
1505.5526, -46.844
1505.5739, -46.835
1505.5951, -46.829
1505.6164, -46.818
1505.6377, -46.812
1505.6589, -46.792
1505.6802, -46.786
1505.7014, -46.767
1505.7227, -46.762
1505.7439, -46.762
1505.7652, -46.738
1505.7864, -46.721
1505.8077, -46.718
1505.8290, -46.707
1505.8502, -46.701
1505.8715, -46.690
1505.8927, -46.674
1505.9140, -46.667
1505.9352, -46.660
1505.9565, -46.640
1505.9777, -46.638
1505.9990, -46.620
1506.0203, -46.613
1506.0415, -46.603
1506.0628, -46.591
1506.0840, -46.585
1506.1053, -46.574
1506.1265, -46.557
1506.1478, -46.555
1506.1690, -46.544
1506.1903, -46.539
1506.2116, -46.526
1506.2328, -46.516
1506.2541, -46.498
1506.2753, -46.489
1506.2966, -46.482
1506.3178, -46.472
1506.3391, -46.468
1506.3603, -46.445
1506.3816, -46.433
1506.4029, -46.434
1506.4241, -46.418
1506.4454, -46.409
1506.4666, -46.391
1506.4879, -46.384
1506.5091, -46.374
1506.5304, -46.365
1506.5516, -46.345
1506.5729, -46.348
1506.5941, -46.334
1506.6154, -46.319
1506.6367, -46.299
1506.6579, -46.303
1506.6792, -46.290
1506.7004, -46.268
1506.7217, -46.264
1506.7429, -46.260
1506.7642, -46.242
1506.7854, -46.239
1506.8067, -46.231
1506.8280, -46.219
1506.8492, -46.196
1506.8705, -46.185
1506.8917, -46.174
1506.9130, -46.156
1506.9342, -46.153
1506.9555, -46.142
1506.9767, -46.127
1506.9980, -46.116
1507.0193, -46.090
1507.0405, -46.102
1507.0618, -46.084
1507.0830, -46.072
1507.1043, -46.058
1507.1255, -46.035
1507.1468, -46.036
1507.1680, -46.019
1507.1893, -46.009
